Prep Date,Site number,Quadrat,Bagged_Slice_Number,Slice_Number,Intended_Alysis,Slice Height (cm; if bag says otherwise),Total Dry Weight (g),Rhizome (g),Total Sediment Weight (g),Pebbles (g),Gravel (g),Coarse Sand (g),Medium Sand (g),Fine Sand (g),Silt/Mud (g),Fraction of Pebbles,Fraction of Gravel,Fraction of Coarse Sand ,Fraction of Medium Sand,Fraction of Fine Sand,Fraction of Silt/Mud ,Qualtiy Control Chedck,
5/19/2020,SMARA,3,6,9,grainsize ,2,45.8455,0,45.8455,0,0.0367,7.6437,10.3338,26.5391,0.748,0,0.0008,0.1667,0.2254,0.5789,0.0163,0.9881,
5/19/2020,SMARA,3,11,4,grainsize ,2,46.4545,0,46.4545,0,0.021,3.6721,12.8742,29.0946,0.4803,0,0.0005,0.079,0.2771,0.6263,0.0103,0.9933,
5/20/2020,SMARA,2,5,9,grainsize ,2,48.3572,0,48.3572,0,0.0428,6.3395,14.1766,26.0865,1.2089,0,0.0009,0.1311,0.2932,0.5395,0.025,0.9896,
5/20/2020,SMARA,2,10,4,grainsize ,2,52.2139,0,52.2139,0,0.0994,3.0755,14.0549,33.8636,0.866,0,0.0019,0.0589,0.2692,0.6486,0.0166,0.9951,
5/20/2020,SMAR03,1,4,14,grainsize ,2,45.375,0,45.375,0,0.0505,7.2355,14.2854,22.7771,0.8941,0,0.0011,0.1595,0.3148,0.502,0.0197,0.9971,
5/20/2020,SMAR03,1,14,9,grainsize ,2,47.007,0,47.007,0,0.0458,4.1508,14.3869,27.555,0.7021,0,0.001,0.0883,0.3061,0.5862,0.0149,0.9965,
5/20/2020,SMAR03,1,19,4,grainsize ,2,40.9222,0,40.9222,0.2366,0.0641,2.7291,13.6509,23.366,0.6993,0.0058,0.0016,0.0667,0.3336,0.571,0.0171,0.9957,
5/28/2020,SMAR25,1,6,14,grainsize ,2,43.2931,0,43.2931,0,0.2053,10.8181,17.4508,13.7826,0.7611,0,0.0047,0.2499,0.4031,0.3184,0.0176,0.9936,
5/28/2020,SMAR25,1,11,9,grainsize ,2,44.6151,0,44.6151,0,0.471,10.6115,18.7365,14.0793,0.5869,0,0.0106,0.2378,0.42,0.3156,0.0132,0.9971,
5/28/2020,SMAR25,1,16,4,grainsize ,2,38.9293,0.0416,38.8877,0,0.0656,6.015,14.6516,14.3133,0.7496,0,0.0017,0.1547,0.3768,0.3681,0.0193,0.9205,
6/4/2020,SMAR14,3,4,9,grainsize ,2,46.118,0.0108,46.1072,0,0.0293,11.9258,19.9399,13.5307,0.542,0,0.0006,0.2586,0.4324,0.2934,0.0118,0.9967,
6/4/2020,SMAR14,3,9,4,grainsize ,2,33.8456,0.1703,33.6753,0.5685,0.0157,7.1054,13.8909,11.5512,0.5337,0.0168,0.0005,0.2099,0.4104,0.3413,0.0158,0.9947,
6/5/2020,SMARB,1,4,19,grainsize ,2,48.1819,0,48.1819,0,0.0365,8.7999,15.502,22.9851,0.8412,0,0.0008,0.1826,0.3217,0.477,0.0175,0.9996,
6/5/2020,SMARB,1,9,14,grainsize ,2,41.0514,0,41.0514,0,1.372,7.6167,15.6729,16.9425,0.6586,0,0.0334,0.1855,0.3818,0.4127,0.016,1.0295,
6/5/2020,SMARB,1,14,9,grainsize ,2,44.6234,0,44.6234,7.831,0.4838,8.7998,14.0575,20.0741,0.5574,0.1755,0.0108,0.1972,0.315,0.4499,0.0125,1.1609,
6/5/2020,SMARB,1,19,4,grainsize ,2,34.2234,0,34.2234,0.1188,0,2.8416,9.3299,20.9188,0.9767,0.0035,0,0.083,0.2726,0.6112,0.0285,0.9989,
6/5/2020,SMAR12,2,2,9,grainsize ,2,52.5277,0.0072,52.5205,0,0,8.4423,25.4608,17.8315,0.4833,0,0,0.1607,0.4847,0.3395,0.0092,0.9941,
6/5/2020,SMAR12,2,7,4,grainsize ,2,37.4583,0.2458,37.2125,0.1839,0.0964,6.4252,15.5977,13.9585,1.0212,0.0049,0.0026,0.1715,0.4164,0.3726,0.0273,0.9953,
6/10/2020,SMARA,1,4,9,grainsize ,2,49.4404,0,49.4404,0,0.0676,8.1459,14.3783,25.9046,0.9475,0,0.0014,0.1648,0.2908,0.524,0.0192,1.0001,
6/10/2020,SMARA,1,9,4,grainsize ,2,60.637,0,60.637,0,0.0412,5.1044,16.4866,38.2273,0.6833,0,0.0007,0.0842,0.2719,0.6304,0.0113,0.9984,
6/10/2020,SMAR01,10,6,9,grainsize ,2,44.2106,0.205,44.0056,0,0.1062,7.4158,15.7819,20.0017,0.8767,0,0.0024,0.1677,0.357,0.4524,0.0198,0.9994,
6/10/2020,SMAR01,10,11,4,grainsize ,2,33.7202,0.3078,,0.0257,0.1398,4.6074,10.8744,17.0682,0.7336,0.0008,0.0041,0.1366,0.3225,0.5062,0.0218,0.992,
6/12/2020,SMAR23,3,3,9,grainsize ,2,40.5366,0.01458,40.52202,0,0.104,6.6536,16.4054,16.0417,0.9124,0,0.0026,0.1641,0.4047,0.3957,0.0225,0.9897,
6/12/2020,SMAR23,3,8,4,grainsize ,2,43.3915,0.0122,43.3793,0.0575,0.2093,6.3428,17.317,18.5475,0.8138,0.0013,0.0048,0.1462,0.3991,0.4274,0.0188,0.9976,
6/12/2020,SMAR23,3,13,14,grainsize ,2,34.395,0.42338,33.97162,0.1018,0.3196,3.9642,11.8253,17.0829,0.5688,0.003,0.0093,0.1153,0.3438,0.4967,0.0165,0.9845,
6/18/2020,SMARB,3,6,14,grainsize ,2,45.6867,0,45.6867,0,0.1207,8.6212,13.7072,22.4408,0.7003,0,0.0026,0.1887,0.3,0.4912,0.0153,0.9979,
6/18/2020,SMARB,3,11,9,grainsize ,2,44.1539,0,44.1539,0,0.0323,5.6527,15.2351,22.5442,0.599,0,0.0007,0.128,0.345,0.5106,0.0136,0.9979,
6/18/2020,SMARB,3,16,4,grainsize ,2,43.6062,0,43.6062,0.3147,0.1424,3.0761,10.9096,28.2814,0.7991,0.0072,0.0033,0.0705,0.2502,0.6486,0.0183,0.9981,
6/24/2020,SMAR12,1,6,14,grainsize ,2,52.0318,0,52.0318,0,0.0199,11.4742,25.3715,14.3884,0.3952,0,0.0004,0.2205,0.4876,0.2765,0.0076,0.9926,
6/24/2020,SMAR12,1,11,9,grainsize ,2,52.1236,0.0485,52.0751,0,0.0135,11.0586,24.2671,16.3297,0.5054,0,0.0003,0.2122,0.4656,0.3133,0.0097,1.001,
6/24/2020,SMAR12,1,16,4,grainsize ,2,45.3378,0.1361,45.2017,0.0107,0.0518,7.3214,20.6713,16.3153,0.7544,0.0002,0.0011,0.1615,0.4559,0.3599,0.0166,0.9953,
6/25/2020,SMAR01,8,5,14,grainsize ,2,36.4414,0,36.4414,0,0.017,8.6138,12.5183,14.5348,0.625,0,0.0005,0.2364,0.3435,0.3989,0.0172,0.9964,
6/25/2020,SMAR01,8,10,9,grainsize ,2,41.6806,0.0075,41.6731,0.2301,0.0771,6.8844,14.1602,19.572,0.7007,0.0055,0.0018,0.1652,0.3397,0.4696,0.0168,0.9987,
6/25/2020,SMAR01,8,15,4,grainsize ,2,32.5532,0.1384,32.4148,0,0.1557,6.9593,11.9911,12.9225,0.4301,0,0.0048,0.2138,0.3684,0.397,0.0132,0.9971,
6/26/2020,SMAR12,3,2,19,grainsize ,2,48.5366,0,48.5366,0,0.0316,13.966,21.8909,12.226,0.4502,0,0.0007,0.2877,0.451,0.2519,0.0093,1.0006,
6/26/2020,SMAR12,3,7,14,grainsize ,2,50.3737,0.0045,50.3692,0,0,15.0153,23.2878,11.8488,0.3743,0,0,0.2981,0.4623,0.2352,0.0074,1.003,
7/4/2020,SMAR12,3,12,9,grainsize ,2,42.8867,0.0058,42.8809,0,0,8.2441,18.7488,14.6803,0.9362,0,0,0.1922,0.4372,0.3423,0.0218,0.9935,
7/4/2020,SMAR12,3,17,4,grainsize ,2,38.0512,0.0901,37.9611,0.0238,0.043,8.114,16.0485,12.9972,0.5073,0.0006,0.0011,0.2132,0.4218,0.3416,0.0133,0.9917,
7/22/2020,STCH20,2,4,9,grainsize ,2,34.1717,0,34.1717,0,0.1645,2.1177,6.7386,24.1643,0.8334,0,0.0048,0.062,0.1972,0.7071,0.0244,0.9955,
7/22/2020,STCH20,2,9,4,grainsize ,2,32.9883,0.1701,32.8315,0.17,0.9222,4.5906,6.806,19.4624,0.7017,0.0052,0.028,0.1392,0.2063,0.59,0.0213,0.9898,There are a lot of rhizomes in the sediments that didn't get picked out. 
1/14/2020,SMAR04,1,2,14,grainsize ,2,46.2476,0,46.2476,0,0.0616,13.1533,19.2383,13.323,0.2949,0,0.0013,0.2844,0.416,0.2881,0.0064,0.9962,
1/14/2020,SMAR04,1,7,9,grainsize ,2,46.8843,0.0257,46.8479,0,0.1677,9.8959,20.9531,15.4572,0.2726,0,0.0036,0.2111,0.4469,0.3297,0.0058,0.9971,
1/14/2020,SMAR04,1,12,4,grainsize ,2,25.0784,0.0174,25.0689,0.0273,0.2637,5.4467,10.6395,8.2617,0.2528,0.0011,0.0105,0.2172,0.4242,0.3294,0.0101,0.9926,
8/28/2020,SJB07,2,11,4,grainsize ,2,49.8046,0.4642,49.1624,0.2804,0.4144,1.6956,6.8519,39.7839,0.0073,0.0056,0.0083,0.034,0.1376,0.7988,0.0001,0.9845,
8/28/2020,SJB07,2,6,9,grainsize ,2,53.3677,0,53.3677,0.0262,0.3741,1.299,15.9182,35.534,0.0119,0.0005,0.007,0.0243,0.2983,0.6658,0.0002,0.9962,
8/28/2020,SJB13,1,6,14,grainsize ,2,52.8036,0,52.8036,0.0907,0.1397,0.7413,23.3353,28.358,0.0075,0.0017,0.0026,0.014,0.4419,0.537,0.0001,0.9975,
8/28/2020,SJB13,1,11,9,grainsize ,2,52.7404,0,52.7404,0.1926,0.2622,1.0338,21.4673,29.6446,0.0053,0.0037,0.005,0.0196,0.407,0.5621,0.0001,0.9974,
8/28/2020,SJB13,1,16,4,grainsize ,2,59.0204,0.2273,58.7931,0,0.1109,2.3588,32.0198,24.1884,0.0022,0,0.0019,0.04,0.5425,0.4098,0,0.9942,
9/18/2020,SJB02,1,3,19,grainsize ,2,47.4445,0,47.4445,0.2909,0.1959,2.8473,27.2607,16.4843,0.0805,0.0061,0.0041,0.06,0.5746,0.3474,0.0017,0.994,
9/18/2020,SJB02,1,8,14,grainsize ,2,37.2156,0,37.2156,0.275,0.3668,1.8617,26.4965,7.972,0.0121,0.0074,0.0099,0.05,0.712,0.2142,0.0003,0.9938,
9/18/2020,SJB02,1,13,9,grainsize ,2,36.1132,0,36.1132,0.5215,0.3551,6.0268,24.0309,4.9601,0.0029,0.0144,0.0098,0.1669,0.6654,0.1373,0.0001,0.994,
9/18/2020,SJB02,1,18,4,grainsize ,2,31.0768,0.2022,30.8863,0.2694,0.3017,5.0572,20.3989,4.6106,0.0066,0.0087,0.0097,0.1627,0.6564,0.1484,0.0002,0.9861,
9/18/2020,SJB10,3,17,4,grainsize ,2,44.5753,0.2085,44.3728,0.1456,1.1318,4.2903,17.8527,20.5705,0.0916,0.0033,0.0254,0.0962,0.4005,0.4615,0.0021,0.9889,
9/18/2020,SJB10,3,12,9,grainsize ,2,40.0893,0,40.0893,0.7672,0.9974,4.9432,21.3858,11.6803,0.0486,0.0191,0.0249,0.1233,0.5335,0.2914,0.0012,0.9933,
9/18/2020,SJB10,3,7,14,grainsize ,2,44.9918,0,44.9918,1.3432,0.8676,4.1758,20.4639,17.9026,0.0425,0.0299,0.0193,0.0928,0.4548,0.3979,0.0009,0.9956,
9/18/2020,SJB10,3,2,19,grainsize ,2,54.1722,0,54.1722,0.2062,0.6728,7.2333,19.8913,23.316,0.0736,0.0038,0.0124,0.1335,0.3672,0.4304,0.0014,0.9487,
9/21/2020,SJB06,1,14,4,grainsize ,2,55.2794,0.2396,55.0295,0,0,0.9837,11.622,42.2138,0.0098,0,0,0.0178,0.2102,0.7636,0.0002,0.9919,
9/21/2020,SJB06,1,9,9,grainsize ,2,61.2337,0,61.2337,0,0.1252,1.3409,18.9415,40.617,0.0023,0,0.002,0.0219,0.3093,0.6633,0,0.9966,
9/21/2020,SJB06,1,4,14,grainsize ,2,58.0403,0,58.0403,0,0.4079,1.4048,22.2995,31.1636,0.0032,0,0.007,0.0242,0.3842,0.5369,0.0001,0.9524,
9/21/2020,SJBA,1,15,4,grainsize ,2,51.0849,0,51.0849,0,0,0.784,22.24,27.89,0.0001,0,0,0.0153,0.4354,0.546,0,0.9967,
9/21/2020,SJBA,1,10,9,grainsize ,2,57.75,0,57.75,0,0.3102,2.1487,42.8324,12.3924,0.0005,0,0.0054,0.0372,0.7417,0.2146,0,0.9989,
9/21/2020,SJBA,1,5,14,grainsize ,2,53.5818,0,53.5818,0,0.1826,1.225,26.2313,25.8479,0,0,0.0034,0.0229,0.4896,0.4824,0,0.9982,
9/21/2020,SJB02,3,5,14,grainsize ,2,45.2978,0,45.2978,0.0435,0.1004,2.2917,24.3895,18.1822,0.0468,0.001,0.0022,0.0506,0.5384,0.4014,0.001,0.9946,
9/21/2020,SJB02,3,10,9,grainsize ,2,58.4184,0,58.4184,0.5655,0.2695,2.567,31.8182,22.801,0.1026,0.0097,0.0046,0.0439,0.5447,0.3903,0.0018,0.995,
9/21/2020,SJB02,3,15,4,grainsize ,2,44.6528,0.164,44.4815,1.3703,0.3081,2.1937,21.8346,18.38,0.1229,0.0307,0.0069,0.0491,0.489,0.4116,0.0028,0.9901,
9/21/2020,SJB24,1,6,9,grainsize ,2,39.851,0,39.851,0.7215,0.3656,0.8249,14.739,22.9632,0.0344,0.0181,0.0092,0.0207,0.3699,0.5762,0.0009,0.9949,
9/21/2020,SJB24,1,11,4,grainsize ,2,44.1412,0.3967,43.751,0,0.0699,1.0121,30.1797,12.0213,0.0398,0,0.0016,0.0229,0.6837,0.2723,0.0009,0.9815,
9/23/2020,SJBB,2,13,4,grainsize ,2,56.3693,0,56.3693,0.0884,0.2786,1.4187,29.6152,24.8808,0.0007,0.0016,0.0049,0.0252,0.5254,0.4414,0,0.9985,
9/23/2020,SJBB,2,8,9,grainsize ,2,51.6551,0,51.6551,0.086,0.0902,1.593,24.9318,24.9218,0,0.0017,0.0017,0.0308,0.4827,0.4825,0,0.9994,
9/23/2020,SJBB,2,3,14,grainsize ,2,51.6047,0,51.6047,0.7249,0.6989,1.8686,23.2939,24.9565,0.0063,0.014,0.0135,0.0362,0.4514,0.4836,0.0001,0.9989,
9/23/2020,SJBB,3,13,4,grainsize ,2,61.1309,0,61.1309,0.7031,0.6291,1.173,31.7383,26.8885,0,0.0115,0.0103,0.0192,0.5192,0.4399,0,1,
9/23/2020,SJBB,3,8,9,grainsize ,2,53.6652,0,53.6652,0,0.4417,1.7078,28.4764,22.9661,0.0029,0,0.0082,0.0318,0.5306,0.428,0.0001,0.9987,
9/23/2020,SJBB,3,3,14,grainsize ,2,58.3317,0,58.3317,0,0.4995,2.1699,24.0473,31.4902,0.0014,0,0.0086,0.0372,0.4123,0.5398,0,0.9979,
9/23/2020,STCH02,2,7,4,grainsize ,2,29.5599,0.3106,29.2364,0.7466,1.062,4.2126,7.8929,15.0323,0.1003,0.0253,0.0359,0.1425,0.267,0.5085,0.0034,0.9826,
9/23/2020,STCH02,2,2,9,grainsize ,2,23.681,0,23.681,0.0604,0.587,5.3908,7.4133,9.8963,0.0934,0.0026,0.0248,0.2276,0.313,0.4179,0.0039,0.9899,
9/25/2020,SJB17,1,5,14,grainsize ,2,40.2806,0,40.2806,0.9544,1.043,5.4676,16.082,16.0958,0.0496,0.0237,0.0259,0.1357,0.3992,0.3996,0.0012,0.9854,
9/25/2020,SJB17,1,10,9,grainsize ,2,42.5991,0,42.5991,0.4153,0.3289,2.1064,15.9958,23.5448,0.0582,0.0097,0.0077,0.0494,0.3755,0.5527,0.0014,0.9965,
9/25/2020,SJB17,1,15,4,grainsize ,2,35.4756,0.07,35.415,0,0.2603,0.9774,9.6312,24.341,0.0757,0,0.0073,0.0276,0.2715,0.6861,0.0021,0.9946,
9/25/2020,SJBC,1,11,4,grainsize ,2,58.7082,0,58.7082,0,0.1781,1.537,44.3228,12.727,0,0,0.003,0.0262,0.755,0.2168,0,1.001,
9/25/2020,SJBC,1,6,9,grainsize ,2,59.1063,0,59.1063,0.0281,0.1543,1.0776,42.2464,15.6022,0,0.0005,0.0026,0.0182,0.7148,0.264,0,1,
9/25/2020,STCH05,3,5,19,grainsize ,2,41.6212,0,41.6212,0,0.0677,2.307,19.3723,19.6124,0.1398,0,0.0016,0.0554,0.4654,0.4712,0.0034,0.9971,
9/25/2020,STCH05,3,10,14,grainsize ,2,55.3396,0,55.3396,0,0.3867,5.0903,19.5269,29.7898,0.3465,0,0.007,0.092,0.3529,0.5383,0.0063,0.9964,
9/25/2020,STCH05,3,15,9,grainsize ,2,48.9657,0,48.9657,0.091,0.1504,2.9394,19.1554,26.3337,0.1743,0.0019,0.0031,0.06,0.3912,0.5378,0.0036,0.9975,
9/25/2020,STCH05,3,20,4,grainsize ,2,34.8801,0.0095,34.8706,0,0.1616,1.6636,11.1957,21.5853,0.1824,0,0.0046,0.0477,0.321,0.6188,0.0052,0.9974,
10/2/2020,SJB10,1,16,4,grainsize ,2,42.8036,0.2095,42.5905,0.492,1.1343,4.9941,22.3157,13.4016,0.0207,0.0115,0.0265,0.1167,0.5214,0.3131,0.0005,0.9896,
10/2/2020,SJB10,1,11,9,grainsize ,2,47.3411,0,47.3411,0,0.5873,5.3288,14.0788,27.1092,0.0812,0,0.0124,0.1126,0.2974,0.5726,0.0017,0.9967,
10/2/2020,SJB10,1,6,14,grainsize ,2,53.492,0,53.492,2.8464,2.6132,6.7729,20.1463,24.9479,0.0362,0.0532,0.0489,0.1266,0.3766,0.4664,0.0007,1.0724,
10/2/2020,STCH04,2,16,4,grainsize ,2,49.532,0.0079,49.4871,0.3268,0.3583,5.8464,15.8954,26.6539,0.2479,0.0066,0.0072,0.118,0.3209,0.5381,0.005,0.9959,
10/2/2020,STCH04,2,11,9,grainsize ,2,56.2864,0,56.2864,0.0955,0.4472,7.1644,18.2919,29.6462,0.4577,0.0017,0.0079,0.1273,0.325,0.5267,0.0081,0.9967,
10/2/2020,STCH04,2,6,14,grainsize ,2,44.0798,0,44.0798,0,0.1674,4.0964,13.0688,26.137,0.4347,0,0.0038,0.0929,0.2965,0.5929,0.0099,0.996,
10/2/2020,STCH06,3,3,9,grainsize ,2,40.0564,0,40.0564,0.159,0.3749,4.1136,11.4096,23.2744,0.4739,0.004,0.0094,0.1027,0.2848,0.581,0.0118,0.9937,
10/2/2020,STCH06,3,8,5,grainsize ,2,29.7488,0.0314,29.7114,0,0.3315,2.7717,6.765,19.1287,0.5572,0,0.0111,0.0932,0.2274,0.643,0.0187,0.9935,
10/2/2020,SMARC,2,12,4,grainsize ,2,46.9925,0,46.9925,0.1872,0.604,17.0802,24.87,3.9021,0.0574,0.004,0.0129,0.3635,0.5292,0.083,0.0012,0.9938,
10/2/2020,SMARC,2,7,9,grainsize ,2,48.2121,0,48.2121,0.0678,0.976,17.9204,23.5304,5.4851,0.0688,0.0014,0.0202,0.3717,0.4881,0.1138,0.0014,0.9966,
10/2/2020,SMARC,2,2,14,grainsize ,2,50.6961,0,50.6961,0,0.6108,20.8376,21.4631,7.4048,0.1947,0,0.012,0.411,0.4234,0.1461,0.0038,0.9963,
10/2/2020,SMARC,1,8,4,grainsize ,2,54.3622,0,54.3622,0.2207,0.4676,18.1719,30.5019,4.7822,0.0624,0.0041,0.0086,0.3343,0.5611,0.088,0.0011,0.997139557,
10/2/2020,SMARC,1,3,9,grainsize ,2,62.0603,0,62.0603,0,0.9287,22.2729,28.4327,9.9104,0.3366,0,0.015,0.3589,0.4581,0.1597,0.0054,0.997115708,
