"","Reference","Date","Region","Site","month","year","Latitude","Longitude","Latitude_Actual","Longitude_Actual","Depth_m","Secchi_m","Quadrat","Epiphite_Blade_Load","Epiphite_Shoot_Load","Seagrass_Health","SAV_Cover","Mono_Mixed","Seagrass_Landscape","Cover_Level","Notes","Acanthophora spicifera","Caulerpa verticillata","Halimeda incrassata","Halodule wrightii","Halophila decipens","Halophila engelmanni","Penicillus capitatus","Ruppia maritima","Sargassum","Syringodium filiforme","Thalassia testudinum","Udotea flabellum","Mean_Seagrass_Canopy_Height_cm","Mean_Macroalgae_Canopy_Height_cm","Thalassia_testudinum_CH","Syringodium_filiforme_CH","Halodule_wrighti_CH"
"1","6/25/2019_Steinhatchee_STCH06_1","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,1,0,0,100,60,"mixed","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,100,0,0,3.66666666666667,0,0,22,0
"2","6/25/2019_Steinhatchee_STCH06_2","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,2,0,0,100,75,"mixed","continuous vegetated","high","",0,0,0,0,1,0,0,0,0,99,0,0,6.16666666666667,0,0,37,0
"3","6/25/2019_Steinhatchee_STCH06_3","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,3,0,0,100,70,"mixed","continuous vegetated","high","",75,0,0,0,10,0,0,0,0,10,5,0,8.66666666666667,0.666666666666667,37,10,0
"4","6/25/2019_Steinhatchee_STCH06_4","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,4,0,0,100,60,"mixed","continuous vegetated","high","",0,0,0,0,25,0,0,0,0,75,0,0,9.66666666666667,0,0,43,0
"5","6/25/2019_Steinhatchee_STCH06_5","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,5,0,0,100,80,"mixed","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,50,50,0,14,0,39,45,0
"6","6/25/2019_Steinhatchee_STCH06_6","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,6,0,0,100,75,"mixed","continuous vegetated","high","",25,0,0,0,0,0,0,0,0,75,0,0,6,4.33333333333333,0,36,0
"7","6/25/2019_Steinhatchee_STCH06_7","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,7,0,0,100,80,"mixed","continuous vegetated","high","",9,0,0,0,1,0,0,0,0,90,0,0,6.83333333333333,1.66666666666667,0,41,0
"8","6/25/2019_Steinhatchee_STCH06_8","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,8,0,0,100,80,"mixed","continuous vegetated","high","",5,0,0,0,0,0,0,0,0,95,0,0,9.16666666666667,0.833333333333333,0,55,0
"9","6/25/2019_Steinhatchee_STCH06_9","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,9,0,0,100,45,"mixed","continuous vegetated","high","",5,0,0,0,0,0,0,0,0,95,0,0,6.33333333333333,0.833333333333333,0,38,0
"10","6/25/2019_Steinhatchee_STCH06_10","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,10,0,0,100,60,"mixed","continuous vegetated","high","",0,0,0,0,1,0,0,0,0,99,0,0,7.66666666666667,0,0,37,0
"11","6/25/2019_Steinhatchee_STCH05_1","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,1,0,0,100,50,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",25,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
"12","6/25/2019_Steinhatchee_STCH05_2","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,2,0,0,100,70,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",0,0,20,0,0,0,0,80,0,0,0,0,4.33333333333333,1,0,0,0
"13","6/25/2019_Steinhatchee_STCH05_3","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,3,0,0,100,50,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",90,0,0,0,0,0,0,9,0,0,0,10,4.33333333333333,4.66666666666667,0,0,0
"14","6/25/2019_Steinhatchee_STCH05_4","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,4,70,70,100,50,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",5,0,25,0,0,0,0,0,0,0,0,70,0,5.33333333333333,0,0,0
"15","6/25/2019_Steinhatchee_STCH05_5","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,5,25,70,100,45,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",20,0,25,0,0,0,0,5,0,0,0,25,3.83333333333333,3.33333333333333,0,0,0
"16","6/25/2019_Steinhatchee_STCH05_6","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,6,100,10,100,80,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",60,0,30,0,0,0,0,10,0,0,0,0,1.33333333333333,2.16666666666667,0,0,0
"17","6/25/2019_Steinhatchee_STCH05_7","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,7,80,80,100,90,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",0,0,20,0,0,0,0,10,0,0,0,20,2.33333333333333,2.16666666666667,0,0,0
"18","6/25/2019_Steinhatchee_STCH05_8","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,8,70,30,100,90,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",30,0,20,0,0,0,0,50,0,0,0,0,2.83333333333333,2,0,0,0
"19","6/25/2019_Steinhatchee_STCH05_9","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,9,30,30,100,100,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",0,0,40,0,0,0,0,60,0,0,0,0,5,1.66666666666667,0,0,0
"20","6/25/2019_Steinhatchee_STCH05_10","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,10,80,50,100,90,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",30,0,5,0,0,0,0,15,0,0,0,50,4.66666666666667,5,0,0,0
"21","6/24/2019_Steinhatchee_STCH04_1","6/24/2019","Steinhatchee","STCH04",6,2019,29.65833,-83.425,NA,NA,1.2,0.5,1,0,0,100,15,"mono","sparse","low","Low low cover",0,0,0,0,0,100,0,0,0,0,0,0,0.833333333333333,0,0,0,0
"22","6/24/2019_Steinhatchee_STCH04_2","6/24/2019","Steinhatchee","STCH04",6,2019,29.65833,-83.425,NA,NA,1.2,0.5,2,0,0,0,0,"mono","sparse","low","Low low cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","6/24/2019_Steinhatchee_STCH04_3","6/24/2019","Steinhatchee","STCH04",6,2019,29.65833,-83.425,NA,NA,1.2,0.5,3,0,0,0,0,"mono","sparse","low","Low low cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","6/24/2019_Steinhatchee_STCH04_4","6/24/2019","Steinhatchee","STCH04",6,2019,29.65833,-83.425,NA,NA,1.2,0.5,4,0,0,0,0,"mono","sparse","low","Low low cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","6/24/2019_Steinhatchee_STCH04_5","6/24/2019","Steinhatchee","STCH04",6,2019,29.65833,-83.425,NA,NA,1.2,0.5,5,0,0,0,0,"mono","sparse","low","Low low cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","6/24/2019_Steinhatchee_STCH04_6","6/24/2019","Steinhatchee","STCH04",6,2019,29.65833,-83.425,NA,NA,1.2,0.5,6,0,0,0,0,"mono","sparse","low","Low low cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","6/24/2019_Steinhatchee_STCH04_7","6/24/2019","Steinhatchee","STCH04",6,2019,29.65833,-83.425,NA,NA,1.2,0.5,7,0,0,0,0,"mono","sparse","low","Low low cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","6/24/2019_Steinhatchee_STCH04_8","6/24/2019","Steinhatchee","STCH04",6,2019,29.65833,-83.425,NA,NA,1.2,0.5,8,0,0,0,0,"mono","sparse","low","Low low cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","6/24/2019_Steinhatchee_STCH04_9","6/24/2019","Steinhatchee","STCH04",6,2019,29.65833,-83.425,NA,NA,1.2,0.5,9,0,0,0,0,"mono","sparse","low","Low low cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","6/24/2019_Steinhatchee_STCH04_10","6/24/2019","Steinhatchee","STCH04",6,2019,29.65833,-83.425,NA,NA,1.2,0.5,10,0,0,0,0,"mono","sparse","low","Low low cover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","6/24/2019_Steinhatchee_STCH02_1","6/24/2019","Steinhatchee","STCH02",6,2019,29.675,-83.475,29.6751,-83.475,1.1,1.1,1,75,100,100,100,"mono","highly fragmented","","",0,0,0,0,0,0,0,0,0,0,100,0,10,0,60,0,0
"32","6/24/2019_Steinhatchee_STCH02_2","6/24/2019","Steinhatchee","STCH02",6,2019,29.675,-83.475,29.6751,-83.475,1.1,1.1,2,50,75,100,80,"mono","highly fragmented","","",0,0,0,0,0,0,0,0,0,0,100,0,7.5,0,45,0,0
"33","6/24/2019_Steinhatchee_STCH02_3","6/24/2019","Steinhatchee","STCH02",6,2019,29.675,-83.475,29.6751,-83.475,1.1,1.1,3,60,30,75,95,"mono","highly fragmented","","",0,0,0,0,0,0,0,0,0,0,100,0,7.5,0,45,0,0
"34","6/24/2019_Steinhatchee_STCH02_4","6/24/2019","Steinhatchee","STCH02",6,2019,29.675,-83.475,29.6751,-83.475,1.1,1.1,4,80,40,80,75,"mono","highly fragmented","","",0,0,0,0,0,0,0,0,0,5,95,0,8.83333333333333,0,30,23,0
"35","6/24/2019_Steinhatchee_STCH02_5","6/24/2019","Steinhatchee","STCH02",6,2019,29.675,-83.475,29.6751,-83.475,1.1,1.1,5,75,30,75,80,"mono","highly fragmented","","",1,0,0,0,0,0,0,0,0,0,99,0,6.33333333333333,0.833333333333333,38,0,0
"36","6/24/2019_Steinhatchee_STCH02_6","6/24/2019","Steinhatchee","STCH02",6,2019,29.675,-83.475,29.6751,-83.475,1.1,1.1,6,0,0,0,0,"mono","highly fragmented","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","6/24/2019_Steinhatchee_STCH02_7","6/24/2019","Steinhatchee","STCH02",6,2019,29.675,-83.475,29.6751,-83.475,1.1,1.1,7,80,40,70,70,"mono","highly fragmented","","",0,0,0,0,0,0,0,0,0,0,100,0,6.16666666666667,0,37,0,0
"38","6/24/2019_Steinhatchee_STCH02_9","6/24/2019","Steinhatchee","STCH02",6,2019,29.675,-83.475,29.6751,-83.475,1.1,1.1,9,50,60,75,95,"mono","highly fragmented","","",0,0,0,0,0,0,0,0,0,0,100,0,6,0,36,0,0
"39","6/24/2019_Steinhatchee_STCH02_8","6/24/2019","Steinhatchee","STCH02",6,2019,29.675,-83.475,29.6751,-83.475,1.1,1.1,8,5,100,100,60,"mono","highly fragmented","","",0,0,0,95,0,0,0,0,0,5,0,0,5.33333333333333,0,0,20,12
"40","6/24/2019_Steinhatchee_STCH02_10","6/24/2019","Steinhatchee","STCH02",6,2019,29.675,-83.475,29.6751,-83.475,1.1,1.1,10,40,10,90,80,"mono","highly fragmented","","",0,0,0,0,0,0,0,0,0,0,100,0,7.66666666666667,0,46,0,0
"41","6/24/2019_Steinhatchee_STCH01_1","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,1,0,0,100,5,"mixed","highly fragmented","","Cocacola",0,0,0,0,0,0,0,0,0,100,0,0,1.66666666666667,0,0,10,0
"42","6/24/2019_Steinhatchee_STCH01_2","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,2,0,0,100,30,"mixed","highly fragmented","","Cocacola",0,0,0,0,0,0,0,0,0,50,0,0,2.16666666666667,0,0,13,0
"43","6/24/2019_Steinhatchee_STCH01_5","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,5,0,0,100,75,"mixed","highly fragmented","","Cocacola",15,0,0,10,0,40,0,0,0,0,0,0,2.33333333333333,0,0,0,12
"44","6/24/2019_Steinhatchee_STCH01_4","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,4,0,0,100,80,"mixed","highly fragmented","","Cocacola",0,0,0,10,0,90,0,0,0,0,0,0,2,0,0,0,10
"45","6/24/2019_Steinhatchee_STCH01_3","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,3,0,0,100,65,"mixed","highly fragmented","","Cocacola",5,0,0,0,0,95,0,0,0,0,0,0,0.25,0,0,0,0
"46","6/24/2019_Steinhatchee_STCH01_3","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,3,0,0,100,65,"mixed","highly fragmented","","Cocacola",5,0,0,0,0,95,0,0,0,0,0,0,0.25,0,0,0,0
"47","6/24/2019_Steinhatchee_STCH01_3","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,3,0,0,100,65,"mixed","highly fragmented","","Cocacola",5,0,0,0,0,95,0,0,0,0,0,0,0.25,0,0,0,0
"48","6/24/2019_Steinhatchee_STCH01_3","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,3,0,0,100,65,"mixed","highly fragmented","","Cocacola",5,0,0,0,0,95,0,0,0,0,0,0,0.25,0,0,0,0
"49","6/24/2019_Steinhatchee_STCH01_6","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,6,0,0,100,15,"mixed","highly fragmented","","Cocacola",60,0,0,40,0,0,0,0,0,0,0,0,2,0.666666666666667,0,0,12
"50","6/24/2019_Steinhatchee_STCH01_7","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,7,0,0,100,10,"mixed","highly fragmented","","Cocacola",0,0,0,100,0,0,0,0,0,0,0,0,3,0,0,0,18
"51","6/24/2019_Steinhatchee_STCH01_8","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,8,0,0,100,15,"mixed","highly fragmented","","Cocacola",0,0,0,100,0,0,0,0,0,0,0,0,3.66666666666667,0,0,0,22
"52","6/24/2019_Steinhatchee_STCH01_9","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,9,0,0,100,40,"mixed","highly fragmented","","Cocacola",0,0,0,0,0,100,0,0,0,0,0,0,0.416666666666667,0,0,0,0
"53","6/24/2019_Steinhatchee_STCH01_10","6/24/2019","Steinhatchee","STCH01",6,2019,29.675,-83.44167,29.675,-83.4414,1.25,0.75,10,0,0,0,0,"mixed","highly fragmented","","Cocacola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","6/14/2019_Saint Marks_SMAR01_5","6/14/2019","Saint Marks","SMAR01",6,2019,30.06016,-84.17051,30.06,-84.1705,NA,NA,5,5,50,100,50,"","continuous vegetated","high","",10,0,0,0,0,0,0,0,0,35,65,0,11.5,0,31,38,0
"55","6/14/2019_Saint Marks_SMAR01_6","6/14/2019","Saint Marks","SMAR01",6,2019,30.06016,-84.17051,30.06,-84.1705,NA,NA,6,30,90,100,60,"","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,5,95,0,10.8333333333333,0,34,31,0
"56","6/14/2019_Saint Marks_SMAR01_7","6/14/2019","Saint Marks","SMAR01",6,2019,30.06016,-84.17051,30.06,-84.1705,NA,NA,7,5,25,100,65,"","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,50,50,0,13.5,0,43,38,0
"57","6/14/2019_Saint Marks_SMAR01_8","6/14/2019","Saint Marks","SMAR01",6,2019,30.06016,-84.17051,30.06,-84.1705,NA,NA,8,50,30,100,70,"","continuous vegetated","high","",10,0,0,0,0,0,0,0,0,40,50,0,12,0,42,30,0
"58","6/14/2019_Saint Marks_SMAR01_9","6/14/2019","Saint Marks","SMAR01",6,2019,30.06016,-84.17051,30.06,-84.1705,NA,NA,9,5,10,100,60,"","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,50,50,0,10.3333333333333,0,30,32,0
"59","6/14/2019_Saint Marks_SMAR01_10","6/14/2019","Saint Marks","SMAR01",6,2019,30.06016,-84.17051,30.06,-84.1705,NA,NA,10,30,50,100,100,"","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,20,80,0,13.1666666666667,0,37,42,0
"60","6/14/2019_Saint Marks_SMAR01_1","6/14/2019","Saint Marks","SMAR01",6,2019,30.06016,-84.17051,30.06,-84.1705,NA,NA,1,20,20,100,75,"","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,30,70,0,9.33333333333333,0,30,26,0
"61","6/14/2019_Saint Marks_SMAR01_2","6/14/2019","Saint Marks","SMAR01",6,2019,30.06016,-84.17051,30.06,-84.1705,NA,NA,2,30,30,100,60,"","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,40,60,0,10,0,35,25,0
"62","6/14/2019_Saint Marks_SMAR01_3","6/14/2019","Saint Marks","SMAR01",6,2019,30.06016,-84.17051,30.06,-84.1705,NA,NA,3,30,30,100,40,"","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,25,75,0,9.5,0,30,27,0
"63","6/14/2019_Saint Marks_SMAR01_4","6/14/2019","Saint Marks","SMAR01",6,2019,30.06016,-84.17051,30.06,-84.1705,NA,NA,4,35,70,100,25,"","continuous vegetated","high","",0,0,0,15,0,0,0,0,0,10,75,0,15.3333333333333,0,32,27,33
"64","7/8/2019_Saint Joe Bay_SJB14_1","7/8/2019","Saint Joe Bay","SJB14",7,2019,29.76002,-85.31073,29.7598,-85.31075,1.3,1.3,1,80,100,100,80,"mono","highly fragmented","high","lost first data sheet . needed to redonquadrats",0,0,0,0,0,0,0,0,0,0,100,0,6.5,0,39,0,0
"65","7/8/2019_Saint Joe Bay_SJB14_2","7/8/2019","Saint Joe Bay","SJB14",7,2019,29.76002,-85.31073,29.7598,-85.31075,1.3,1.3,2,99,99,100,100,"mono","highly fragmented","high","lost first data sheet . needed to redonquadrats",0,0,0,0,0,0,0,0,0,0,100,0,6.16666666666667,0,37,0,0
"66","7/8/2019_Saint Joe Bay_SJB14_3","7/8/2019","Saint Joe Bay","SJB14",7,2019,29.76002,-85.31073,29.7598,-85.31075,1.3,1.3,3,95,100,100,75,"mono","highly fragmented","high","lost first data sheet . needed to redonquadrats",0,0,0,0,0,0,0,0,0,0,100,0,6.33333333333333,0,38,0,0
"67","7/8/2019_Saint Joe Bay_SJB14_4","7/8/2019","Saint Joe Bay","SJB14",7,2019,29.76002,-85.31073,29.7598,-85.31075,1.3,1.3,4,95,100,100,70,"mono","highly fragmented","high","lost first data sheet . needed to redonquadrats",0,0,0,0,0,0,0,0,0,0,100,0,6,0,36,0,0
"68","7/8/2019_Saint Joe Bay_SJB14_5","7/8/2019","Saint Joe Bay","SJB14",7,2019,29.76002,-85.31073,29.7598,-85.31075,1.3,1.3,5,95,100,100,100,"mono","highly fragmented","high","lost first data sheet . needed to redonquadrats",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"69","7/8/2019_Saint Joe Bay_SJB14_6","7/8/2019","Saint Joe Bay","SJB14",7,2019,29.76002,-85.31073,29.7598,-85.31075,1.3,1.3,6,90,100,100,50,"mono","highly fragmented","high","lost first data sheet . needed to redonquadrats",0,0,0,0,0,0,0,0,0,0,100,0,4.66666666666667,0,28,0,0
"70","7/8/2019_Saint Joe Bay_SJB14_7","7/8/2019","Saint Joe Bay","SJB14",7,2019,29.76002,-85.31073,29.7598,-85.31075,1.3,1.3,7,100,100,100,100,"mono","highly fragmented","high","lost first data sheet . needed to redonquadrats",0,0,0,0,0,0,0,0,0,0,100,0,5,0,30,0,0
"71","7/8/2019_Saint Joe Bay_SJB14_8","7/8/2019","Saint Joe Bay","SJB14",7,2019,29.76002,-85.31073,29.7598,-85.31075,1.3,1.3,8,80,90,100,50,"mono","highly fragmented","high","lost first data sheet . needed to redonquadrats",0,0,0,0,0,0,0,0,0,0,100,0,5.16666666666667,0,31,0,0
"72","7/8/2019_Saint Joe Bay_SJB14_9","7/8/2019","Saint Joe Bay","SJB14",7,2019,29.76002,-85.31073,29.7598,-85.31075,1.3,1.3,9,100,100,100,50,"mono","highly fragmented","high","lost first data sheet . needed to redonquadrats",0,0,0,0,0,0,0,0,0,0,100,0,7.5,0,45,0,0
"73","7/8/2019_Saint Joe Bay_SJB14_10","7/8/2019","Saint Joe Bay","SJB14",7,2019,29.76002,-85.31073,29.7598,-85.31075,1.3,1.3,10,80,70,100,60,"mono","highly fragmented","high","lost first data sheet . needed to redonquadrats",0,0,0,0,0,0,0,0,0,0,100,0,4.16666666666667,0,25,0,0
"74","7/8/2019_Saint Joe Bay_SJB13_1","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,1,80,75,100,100,"","highly fragmented","high","",0,0,0,0,0,0,0,0,0,0,100,0,8.33333333333333,0,50,0,0
"75","7/8/2019_Saint Joe Bay_SJB13_2","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,2,50,30,100,100,"","highly fragmented","high","",0,0,0,70,0,0,0,0,0,5,25,0,15.8333333333333,0,37,38,20
"76","7/8/2019_Saint Joe Bay_SJB13_3","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,3,30,100,100,100,"","highly fragmented","high","",0,0,0,95,0,0,0,0,0,5,0,0,7.5,0,0,25,20
"77","7/8/2019_Saint Joe Bay_SJB13_4","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,4,50,90,75,95,"","highly fragmented","high","",0,0,0,5,0,0,0,0,0,50,45,0,9.16666666666667,0,21,20,14
"78","7/8/2019_Saint Joe Bay_SJB13_5","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,5,15,5,100,75,"","highly fragmented","high","",0,0,0,0,0,0,0,0,0,90,0,0,3,0,0,18,0
"79","7/9/2019_Saint Joe Bay_SJB13_5","7/9/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,5,15,5,100,75,"","highly fragmented","high","",0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,18
"80","7/8/2019_Saint Joe Bay_SJB13_6","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,6,80,60,100,100,"","highly fragmented","high","",0,0,0,0,0,0,0,0,0,25,75,0,10.8333333333333,0,39,26,0
"81","7/8/2019_Saint Joe Bay_SJB13_7","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,7,75,50,100,90,"","highly fragmented","high","",0,0,0,40,0,0,0,0,0,15,45,0,16.1666666666667,0,30,39,28
"82","7/8/2019_Saint Joe Bay_SJB13_8","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,8,90,50,100,100,"","highly fragmented","high","",0,0,0,1,0,0,0,0,0,1,98,0,17.6666666666667,0,46,30,30
"83","7/8/2019_Saint Joe Bay_SJB13_9","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,9,50,70,100,100,"","highly fragmented","high","",0,0,0,45,0,0,0,0,0,55,0,0,11.5,0,0,39,30
"84","7/8/2019_Saint Joe Bay_SJB13_10","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,10,10,10,75,75,"","highly fragmented","high","",0,0,0,75,0,0,0,0,0,25,0,0,0,0,0,0,0
"85","7/8/2019_Saint Joe Bay_SJB13_10","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,10,10,10,75,75,"","highly fragmented","high","",0,0,0,75,0,0,0,0,0,25,0,0,0,0,0,0,0
"86","7/8/2019_Saint Joe Bay_SJB13_10","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,10,10,10,75,75,"","highly fragmented","high","",0,0,0,75,0,0,0,0,0,25,0,0,0,0,0,0,0
"87","7/8/2019_Saint Joe Bay_SJB13_10","7/8/2019","Saint Joe Bay","SJB13",7,2019,29.77447,-85.30693,29.7744,-85.30717,0.8,0.8,10,10,10,75,75,"","highly fragmented","high","",0,0,0,75,0,0,0,0,0,25,0,0,0,0,0,0,0
"88","7/9/2019_Saint Joe Bay_SJB07_1","7/9/2019","Saint Joe Bay","SJB07",7,2019,29.80502,-85.30295,29.7991,-85.3034,0.6,0.6,1,100,100,100,100,"mixed","highly fragmented","high","Need to do one more biomass and core plus 1 quad . Took 3rd quad on 7/10/2019 8am to 8:53",0,0,0,100,0,0,0,0,0,0,0,0,4.83333333333333,0,0,0,29
"89","7/9/2019_Saint Joe Bay_SJB07_2","7/9/2019","Saint Joe Bay","SJB07",7,2019,29.80502,-85.30295,29.7991,-85.3034,0.6,0.6,2,100,80,100,80,"mixed","highly fragmented","high","Need to do one more biomass and core plus 1 quad . Took 3rd quad on 7/10/2019 8am to 8:53",0,0,0,5,0,0,0,0,0,0,95,0,6.16666666666667,0,25,0,12
